Event Name,Theme / Focus,Dates / Timeframe / Notes / Source
"HACK IITK 2026 (by C3iHub, IIT Kanpur)","Cybersecurity (CTF & Solutions)","Qualification + Grand Finale 2026 / Online & on-campus","[hackathon.c3ihub.iitk.ac.in] [oai_citation:0 C3iHub Arena](https://hackathon.c3ihub.iitk.ac.in/?utm_source=chatgpt.com)"
"Hacks for Hackers 2026 (via MLH)","General / Open Hackathon","Jan 2-4 2026 (Worldwide Online) [oai_citation:1 Major League Hacking](https://mlh.io/seasons/2026/events?utm_source=chatgpt.com)"
"PEC Hacks 3.0 2026 (Chennai)","General/Dev","Dec 27-28 2025 (in-person) [oai_citation:2 Major League Hacking](https://mlh.io/seasons/2026/events?utm_source=chatgpt.com)"
"The Smart India Hackathon 2025 (SIH 2025)","Multi-theme (may include Cloud/Cybersecurity)","Finales late 2025 - early 2026 / across India [oai_citation:3 Smart India Hackathon](https://sih.gov.in/?utm_source=chatgpt.com)"
"The Great Indian Hackathon 2025 (virtual, by KONFHUB)","Multi-theme (beginners-friendly)","21 Dec 2025 - 28 Feb 2026 (Virtual) [oai_citation:4 Airmeet](https://www.airmeet.com/hub/blog/famous-hackathons-of-india/?utm_source=chatgpt.com)"
"DeveloperWeek 2026 Hackathon","General / Web & Cloud Dev","2026 (exact dates per organiser - check closer to event) [oai_citation:5 DeveloperWeek](https://www.developerweek.com/hackathon/?utm_source=chatgpt.com)"
"Hackathon.com - IBM Z Day 2025","Cloud / Enterprise / Cybersecurity-adjacent","Online - 12 Nov 2025 [oai_citation:6 Hackathon](https://www.hackathon.com/?utm_source=chatgpt.com)"
"CloudX Hackathon 2025","Cloud & API / Integration","Aug 18 - Sept 5 2025 (mostly concluded, but check for similar next editions) [oai_citation:7 CloudX](https://cloudxconf.com/hackathon/?utm_source=chatgpt.com)"
"NSF Engine Open Hackathon 2026","General / Multi-theme / Tech","Hybrid - Jan 21-30 2026 [oai_citation:8 openhackathons.org](https://www.openhackathons.org/s/upcoming-events?utm_source=chatgpt.com)"
"IDRIS Open Hackathon 2026","General / Open-themed","May 12-21 2026 (Europe / EMEA) [oai_citation:9 openhackathons.org](https://www.openhackathons.org/s/?utm_source=chatgpt.com)"
